,Date,Home,Home Score,Away,Away Score
0,2018-02-01,Oklahoma City Thunder,124,Denver Nuggets,127
1,2018-02-01,Memphis Grizzlies,102,Detroit Pistons,104
2,2018-02-01,Milwaukee Bucks,89,Minnesota Timberwolves,108
3,2018-02-01,Houston Rockets,102,San Antonio Spurs,91
4,2018-02-01,Toronto Raptors,119,Washington Wizards,122
5,2018-02-02,Atlanta Hawks,110,Boston Celtics,119
6,2018-02-02,Los Angeles Lakers,102,Brooklyn Nets,99
7,2018-02-02,Indiana Pacers,126,Charlotte Hornets,133
8,2018-02-02,New York Knicks,90,Milwaukee Bucks,92
9,2018-02-02,New Orleans Pelicans,114,Oklahoma City Thunder,100
10,2018-02-02,Miami Heat,97,Philadelphia 76ers,103
11,2018-02-02,Utah Jazz,129,Phoenix Suns,97
12,2018-02-02,Golden State Warriors,119,Sacramento Kings,104
13,2018-02-02,Portland Trail Blazers,105,Toronto Raptors,130
14,2018-02-03,Houston Rockets,120,Cleveland Cavaliers,88
15,2018-02-03,Golden State Warriors,108,Denver Nuggets,115
16,2018-02-03,Miami Heat,107,Detroit Pistons,111
17,2018-02-03,Philadelphia 76ers,92,Indiana Pacers,100
18,2018-02-03,Chicago Bulls,103,Los Angeles Clippers,113
19,2018-02-03,New Orleans Pelicans,107,Minnesota Timberwolves,118
20,2018-02-03,Washington Wizards,115,Orlando Magic,98
21,2018-02-03,Dallas Mavericks,106,Sacramento Kings,99
22,2018-02-03,Utah Jazz,120,San Antonio Spurs,111
23,2018-02-04,Portland Trail Blazers,96,Boston Celtics,97
24,2018-02-04,Milwaukee Bucks,109,Brooklyn Nets,94
25,2018-02-04,Atlanta Hawks,99,New York Knicks,96
26,2018-02-04,Los Angeles Lakers,108,Oklahoma City Thunder,104
27,2018-02-04,Charlotte Hornets,115,Phoenix Suns,110
28,2018-02-04,Memphis Grizzlies,86,Toronto Raptors,101
29,2018-02-05,Charlotte Hornets,104,Denver Nuggets,121
30,2018-02-05,Portland Trail Blazers,91,Detroit Pistons,111
31,2018-02-05,Washington Wizards,111,Indiana Pacers,102
32,2018-02-05,Dallas Mavericks,101,Los Angeles Clippers,104
33,2018-02-05,Orlando Magic,111,Miami Heat,109
34,2018-02-05,Utah Jazz,133,New Orleans Pelicans,109
35,2018-02-05,Chicago Bulls,98,Sacramento Kings,104
36,2018-02-06,Memphis Grizzlies,82,Atlanta Hawks,108
37,2018-02-06,Houston Rockets,123,Brooklyn Nets,113
38,2018-02-06,Oklahoma City Thunder,125,Golden State Warriors,105
39,2018-02-06,Phoenix Suns,93,Los Angeles Lakers,112
40,2018-02-06,Milwaukee Bucks,103,New York Knicks,89
41,2018-02-06,Cleveland Cavaliers,98,Orlando Magic,116
42,2018-02-06,Washington Wizards,102,Philadelphia 76ers,115
43,2018-02-06,Boston Celtics,91,Toronto Raptors,111
44,2018-02-07,Minnesota Timberwolves,138,Cleveland Cavaliers,140
45,2018-02-07,Brooklyn Nets,106,Detroit Pistons,115
46,2018-02-07,Utah Jazz,92,Memphis Grizzlies,88
47,2018-02-07,Houston Rockets,109,Miami Heat,101
48,2018-02-07,San Antonio Spurs,129,Phoenix Suns,81
49,2018-02-08,Dallas Mavericks,103,Golden State Warriors,121
50,2018-02-08,Oklahoma City Thunder,81,Los Angeles Lakers,106
51,2018-02-08,Atlanta Hawks,98,Orlando Magic,100
52,2018-02-08,Charlotte Hornets,103,Portland Trail Blazers,109
53,2018-02-08,New York Knicks,88,Toronto Raptors,113
54,2018-02-08,Boston Celtics,110,Washington Wizards,104
55,2018-02-09,Cleveland Cavaliers,123,Atlanta Hawks,107
56,2018-02-09,Indiana Pacers,97,Boston Celtics,91
57,2018-02-09,Minnesota Timberwolves,113,Chicago Bulls,114
58,2018-02-09,Los Angeles Clippers,108,Detroit Pistons,95
59,2018-02-09,Denver Nuggets,104,Houston Rockets,130
60,2018-02-09,Milwaukee Bucks,85,Miami Heat,91
61,2018-02-09,New Orleans Pelicans,82,Philadelphia 76ers,100
62,2018-02-09,Portland Trail Blazers,118,Sacramento Kings,100
63,2018-02-09,Charlotte Hornets,94,Utah Jazz,106
64,2018-02-10,New Orleans Pelicans,138,Brooklyn Nets,128
65,2018-02-10,Washington Wizards,101,Chicago Bulls,90
66,2018-02-10,Los Angeles Lakers,123,Dallas Mavericks,130
67,2018-02-10,San Antonio Spurs,105,Golden State Warriors,122
68,2018-02-10,Milwaukee Bucks,111,Orlando Magic,104
69,2018-02-10,Los Angeles Clippers,98,Philadelphia 76ers,112
70,2018-02-10,Denver Nuggets,123,Phoenix Suns,113
71,2018-02-11,Detroit Pistons,115,Atlanta Hawks,118
72,2018-02-11,Cleveland Cavaliers,121,Boston Celtics,99
73,2018-02-11,Toronto Raptors,123,Charlotte Hornets,103
74,2018-02-11,Dallas Mavericks,97,Houston Rockets,104
75,2018-02-11,New York Knicks,113,Indiana Pacers,121
76,2018-02-11,Sacramento Kings,106,Minnesota Timberwolves,111
77,2018-02-11,Memphis Grizzlies,92,Oklahoma City Thunder,110
78,2018-02-11,Utah Jazz,115,Portland Trail Blazers,96
79,2018-02-12,Los Angeles Clippers,114,Brooklyn Nets,101
80,2018-02-12,Orlando Magic,101,Chicago Bulls,105
81,2018-02-12,New Orleans Pelicans,118,Detroit Pistons,103
82,2018-02-12,Phoenix Suns,83,Golden State Warriors,129
83,2018-02-12,New York Knicks,92,Philadelphia 76ers,108
84,2018-02-12,San Antonio Spurs,99,Utah Jazz,101
85,2018-02-13,Sacramento Kings,114,Dallas Mavericks,109
86,2018-02-13,San Antonio Spurs,109,Denver Nuggets,117
87,2018-02-13,Atlanta Hawks,92,Milwaukee Bucks,97
88,2018-02-13,Houston Rockets,126,Minnesota Timberwolves,108
89,2018-02-13,Cleveland Cavaliers,120,Oklahoma City Thunder,112
90,2018-02-13,Miami Heat,112,Toronto Raptors,115
91,2018-02-14,Los Angeles Clippers,129,Boston Celtics,119
92,2018-02-14,Indiana Pacers,108,Brooklyn Nets,103
93,2018-02-14,Toronto Raptors,122,Chicago Bulls,98
94,2018-02-14,Atlanta Hawks,98,Detroit Pistons,104
95,2018-02-14,Sacramento Kings,91,Houston Rockets,100
96,2018-02-14,Oklahoma City Thunder,121,Memphis Grizzlies,114
97,2018-02-14,Los Angeles Lakers,117,New Orleans Pelicans,139
98,2018-02-14,Washington Wizards,118,New York Knicks,113
99,2018-02-14,Charlotte Hornets,104,Orlando Magic,102
100,2018-02-14,Miami Heat,102,Philadelphia 76ers,104
101,2018-02-14,Golden State Warriors,117,Portland Trail Blazers,123
102,2018-02-14,Phoenix Suns,97,Utah Jazz,107
