,G,Date,Team,Home/Away,Opp,W/L,Team Score,Oponent Score,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team FT,Team FTA,Team FT%,Team ORB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Home Indicator,Win Indicator,Team ORtg,Team DRtg,Team Pace,Team FTr,Team 3PAr,Team TS%,Team TRB%,Team AST%,Team STL%,Team BLK%,Team eFG%,Team TOV%,Team ORB%,Team FT/FGA,Opponent eFG%,Opponent TOV%,Opponent DRB%,Opponent FT/FGA
0,1,2017-10-18,ATL,Away,DAL,W,117,111,48,94,0.511,9,18,0.5,12,15,0.8,14,50,20,11,6,13,18,38,86,0.442,17,45,0.37799999999999995,18,21,0.857,9,41,27,5,4,15,19,0,1,118.7,112.6,98.6,0.16,0.191,0.5820000000000001,54.9,41.7,11.2,14.6,0.5589999999999999,11.4,30.4,0.128,0.541,13.6,80.0,0.209
1,2,2017-10-20,ATL,Away,CHO,L,91,109,36,95,0.379,7,30,0.233,12,14,0.857,6,38,19,11,4,13,29,37,86,0.43,11,36,0.306,24,30,0.8,12,57,17,5,4,21,18,0,0,86.3,103.4,105.4,0.147,0.316,0.45,40.0,52.8,10.4,8.0,0.41600000000000004,11.4,11.8,0.126,0.494,17.5,72.7,0.27899999999999997
2,3,2017-10-22,ATL,Away,BRK,L,104,116,32,94,0.34,7,27,0.259,33,36,0.917,16,48,21,6,2,16,25,41,87,0.47100000000000003,11,27,0.40700000000000003,23,34,0.6759999999999999,13,51,27,12,8,18,27,0,0,99.5,110.9,104.6,0.38299999999999995,0.287,0.473,48.5,65.6,5.7,3.3,0.37799999999999995,12.7,29.6,0.35100000000000003,0.534,15.0,71.1,0.264
3,4,2017-10-23,ATL,Away,MIA,L,93,104,36,76,0.474,7,17,0.41200000000000003,14,18,0.778,6,41,14,9,1,20,17,39,85,0.45899999999999996,14,37,0.37799999999999995,12,18,0.667,10,41,21,12,6,19,19,0,0,94.6,105.8,98.3,0.237,0.22399999999999998,0.5539999999999999,50.0,38.9,9.2,2.1,0.52,19.2,16.2,0.184,0.541,17.0,77.8,0.141
4,5,2017-10-26,ATL,Away,CHI,L,86,91,32,81,0.395,11,28,0.39299999999999996,11,13,0.846,7,40,22,10,5,10,23,31,86,0.36,7,32,0.21899999999999997,22,29,0.759,18,62,20,5,4,13,15,0,0,96.2,101.8,89.4,0.16,0.34600000000000003,0.496,39.2,68.8,11.2,9.3,0.46299999999999997,10.3,13.7,0.136,0.401,11.6,64.7,0.256
5,6,2017-10-27,ATL,Home,DEN,L,100,105,37,89,0.41600000000000004,14,33,0.424,12,12,1.0,11,43,23,7,4,12,21,42,91,0.462,4,20,0.2,17,23,0.7390000000000001,11,46,24,8,4,11,12,1,0,105.1,110.4,95.1,0.135,0.371,0.53,48.3,62.2,7.4,5.6,0.494,11.3,23.9,0.135,0.484,9.8,74.4,0.187
6,7,2017-10-29,ATL,Home,MIL,L,106,117,36,77,0.46799999999999997,13,29,0.44799999999999995,21,26,0.8079999999999999,3,31,27,9,2,16,21,44,81,0.5429999999999999,13,26,0.5,16,21,0.762,5,43,30,9,3,14,27,1,0,107.3,118.4,98.8,0.33799999999999997,0.377,0.599,41.9,75.0,9.1,3.6,0.552,15.3,7.3,0.273,0.623,13.4,84.8,0.198
7,8,2017-11-01,ATL,Away,PHI,L,109,119,41,94,0.436,8,23,0.348,19,27,0.7040000000000001,12,49,22,11,4,18,28,46,99,0.465,13,35,0.371,14,25,0.56,15,53,36,10,4,16,26,0,0,100.1,109.3,108.9,0.287,0.245,0.515,48.0,53.7,10.1,6.3,0.479,14.5,24.0,0.20199999999999999,0.53,12.7,71.2,0.141
8,9,2017-11-03,ATL,Home,HOU,L,104,119,39,81,0.48100000000000004,11,33,0.33299999999999996,15,18,0.833,5,41,16,8,8,18,16,42,89,0.47200000000000003,16,47,0.34,19,23,0.826,9,44,28,14,4,12,16,1,0,103.6,118.6,100.4,0.222,0.40700000000000003,0.585,48.2,41.0,8.0,19.0,0.5489999999999999,16.8,12.5,0.185,0.562,10.8,80.0,0.213
9,10,2017-11-05,ATL,Away,CLE,W,117,115,41,86,0.47700000000000004,11,25,0.44,24,34,0.706,11,44,24,4,6,17,20,42,96,0.43799999999999994,10,36,0.278,21,23,0.9129999999999999,15,47,27,6,6,13,29,0,1,114.5,112.5,102.2,0.395,0.29100000000000004,0.579,48.4,58.5,3.9,10.0,0.541,14.4,25.6,0.27899999999999997,0.49,10.9,68.8,0.21899999999999997
10,11,2017-11-06,ATL,Home,BOS,L,107,110,39,81,0.48100000000000004,13,26,0.5,16,20,0.8,5,36,24,8,4,14,22,39,81,0.48100000000000004,14,36,0.389,18,22,0.818,7,42,28,3,3,13,21,1,0,111.5,114.6,96.0,0.247,0.321,0.596,46.2,61.5,8.3,8.9,0.562,13.5,12.5,0.198,0.568,12.5,81.6,0.222
11,12,2017-11-10,ATL,Away,DET,L,104,111,44,89,0.494,8,24,0.33299999999999996,8,11,0.727,11,45,28,11,7,15,21,39,89,0.43799999999999994,12,30,0.4,21,27,0.778,20,51,23,7,5,17,18,0,0,107.9,115.2,96.4,0.124,0.27,0.5539999999999999,46.9,63.6,11.4,11.9,0.539,13.8,26.2,0.09,0.506,14.4,63.0,0.23600000000000002
12,13,2017-11-11,ATL,Away,WAS,L,94,113,34,83,0.41,14,33,0.424,12,17,0.706,10,32,19,11,1,24,23,42,78,0.5379999999999999,7,24,0.292,22,28,0.7859999999999999,11,42,22,14,10,23,22,0,0,93.8,112.8,100.2,0.205,0.39799999999999996,0.519,43.2,55.9,11.0,1.9,0.494,21.0,24.4,0.145,0.583,20.3,66.7,0.282
13,14,2017-11-13,ATL,Away,NOP,L,105,106,40,87,0.46,17,36,0.47200000000000003,8,9,0.889,10,36,25,14,1,16,18,41,75,0.547,13,33,0.39399999999999996,11,17,0.647,7,38,31,10,5,19,13,0,0,112.0,113.1,93.7,0.10300000000000001,0.414,0.5770000000000001,48.6,62.5,14.9,2.4,0.557,15.0,24.4,0.092,0.633,18.7,78.8,0.147
14,15,2017-11-15,ATL,Home,SAC,W,126,80,50,79,0.633,16,32,0.5,10,16,0.625,9,53,40,9,6,18,23,31,88,0.35200000000000004,6,28,0.214,12,20,0.6,11,29,18,12,2,12,19,1,1,133.4,84.7,94.4,0.203,0.405,0.732,64.6,80.0,9.5,10.0,0.7340000000000001,17.3,33.3,0.127,0.386,11.0,80.0,0.136
