,Value,G,W,L,Team FG,Team FGA,Team 3P,Team 3PA,Team FT,Team FTA,Team ORB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Team PTS,Opponent FG,Opponent FGA,Opponent 3P,Opponent 3PA,Opponent FT,Opponent FTA,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent PTS,Team
0,Boston,3,0,3,36.7,79.7,11.0,27.0,21.0,24.7,5.0,35.7,23.0,7.0,3.0,13.0,19.7,105.3,41.0,84.0,13.7,31.3,17.3,20.7,7.7,41.7,25.0,6.7,4.0,13.3,22.0,113.0,ATL
1,Brooklyn,4,1,3,36.5,88.8,9.3,28.0,21.0,25.8,11.5,44.8,19.5,8.3,3.0,15.0,22.0,103.3,39.0,85.3,14.0,34.8,17.5,24.0,12.5,48.0,27.8,7.0,5.8,18.3,24.3,109.5,ATL
2,Chicago,2,0,2,33.5,86.5,11.0,38.0,13.5,18.0,8.0,42.5,24.5,7.5,4.5,11.5,22.0,91.5,35.5,83.0,10.5,32.0,20.5,25.0,11.0,55.0,25.5,6.5,2.5,14.5,19.0,102.0,ATL
3,Charlotte,3,0,3,37.3,83.7,11.3,30.7,17.7,20.3,5.3,35.3,22.7,7.3,4.3,14.0,23.7,103.7,41.0,88.0,13.7,34.0,22.0,26.7,11.7,47.3,23.7,8.0,4.3,14.0,21.3,117.7,ATL
4,Cleveland,4,1,3,40.5,85.0,13.8,34.0,18.3,22.5,8.8,38.0,23.5,6.3,4.5,14.0,18.8,113.0,44.3,86.8,15.8,37.0,16.3,21.0,9.8,41.8,30.8,7.0,4.3,13.5,21.0,120.5,ATL
5,Dallas,2,2,0,45.0,84.5,9.5,21.0,15.0,18.5,10.0,44.0,24.5,8.0,4.0,14.0,18.5,114.5,40.5,85.5,13.0,39.0,15.0,18.0,8.0,35.5,29.0,6.5,3.5,12.5,18.0,109.0,ATL
6,Denver,2,1,1,38.5,84.5,13.0,30.0,15.0,15.0,8.5,43.5,24.0,6.5,4.0,14.0,22.0,105.0,40.0,93.0,6.5,28.5,14.5,21.5,12.5,43.0,25.5,10.5,5.0,11.5,15.0,101.0,ATL
7,Detroit,4,1,3,38.0,81.5,8.8,29.3,18.0,23.3,7.5,39.3,27.0,9.0,5.0,13.8,20.0,102.8,38.3,86.3,12.8,31.5,19.5,24.3,14.0,46.0,26.3,6.5,4.3,15.8,21.8,108.8,ATL
8,Houston,1,0,1,39.0,81.0,11.0,33.0,15.0,18.0,5.0,41.0,16.0,8.0,8.0,18.0,16.0,104.0,42.0,89.0,16.0,47.0,19.0,23.0,9.0,44.0,28.0,14.0,4.0,12.0,16.0,119.0,ATL
9,Indiana,1,0,1,35.0,80.0,8.0,29.0,17.0,20.0,10.0,42.0,27.0,5.0,6.0,13.0,17.0,95.0,40.0,82.0,7.0,21.0,18.0,19.0,8.0,37.0,19.0,5.0,5.0,9.0,18.0,105.0,ATL
