,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,â¤3,â¥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
0,Golden State Warriors,43-13,21-7,22-6,19-3,24-10,7-1,6-1,6-1,6-5,6-2,12-3,43-13,0-0,4-1,28-7,5-3,11-3,13-2,11-3,3-2,0-0,0-0
1,Houston Rockets,41-13,21-6,20-7,18-5,23-8,5-3,6-1,7-1,8-1,8-4,7-3,41-13,0-0,2-2,26-6,5-3,12-1,9-5,10-4,5-0,0-0,0-0
2,Boston Celtics,40-17,21-9,19-8,25-12,15-5,9-3,7-5,9-4,5-1,5-2,5-2,40-17,0-0,9-5,18-4,5-2,14-2,11-6,7-5,3-2,0-0,0-0
3,Toronto Raptors,38-16,23-4,15-12,22-7,16-9,8-3,8-1,6-3,4-4,6-3,6-2,38-16,0-0,2-5,22-3,4-2,9-5,11-3,10-5,4-1,0-0,0-0
4,San Antonio Spurs,35-22,22-6,13-16,15-10,20-12,6-4,4-4,5-2,5-5,9-3,6-4,35-22,0-0,7-5,18-12,4-3,10-4,11-5,9-7,1-3,0-0,0-0
5,Minnesota Timberwolves,34-24,22-6,12-18,9-15,25-9,3-4,3-6,3-5,9-2,8-4,8-3,34-24,0-0,6-7,19-7,4-3,9-6,10-5,9-8,2-2,0-0,0-0
6,Cleveland Cavaliers,32-22,20-7,12-15,24-12,8-10,5-4,8-5,11-3,3-3,3-3,2-4,32-22,0-0,7-4,9-14,3-4,12-3,9-5,6-8,2-2,0-0,0-0
7,Washington Wizards,32-24,17-10,15-14,19-14,13-10,6-6,7-4,6-4,4-4,5-4,4-2,32-24,0-0,3-6,17-7,4-2,7-8,10-6,7-6,4-2,0-0,0-0
8,Indiana Pacers,31-25,19-11,12-14,21-15,10-10,7-5,8-6,6-4,3-5,3-1,4-4,31-25,0-0,6-1,15-13,4-3,8-7,7-8,10-5,2-2,0-0,0-0
9,Milwaukee Bucks,31-24,18-9,13-15,18-17,13-7,6-5,5-6,7-6,5-3,5-1,3-3,31-24,0-0,4-0,10-12,4-3,7-6,8-6,8-7,4-2,0-0,0-0
