,Acronym,Franchise,City
0,ATL,Atlanta Hawks,Atlanta
1,BRK,Brooklyn Nets,Brooklyn
2,BOS,Boston Celtics,Boston
3,CHO,Charlotte Hornets,Charlotte
4,CHI,Chicago Bulls,Chicago
5,CLE,Cleveland Cavaliers,Cleveland
6,DAL,Dallas Mavericks,Dallas
7,DEN,Denver Nuggets,Denver
8,DET,Detroit Pistons,Detroit
9,GSW,Golden State Warriors,Golden State
10,HOU,Houston Rockets,Houston
11,IND,Indiana Pacers,Indiana
12,LAC,Los Angeles Clippers,LA Clippers
13,LAL,Los Angeles Lakers,LA Lakers
14,MEM,Memphis Grizzlies,Memphis
15,MIA,Miami Heat,Miami
16,MIL,Milwaukee Bucks,Milwaukee
17,MIN,Minnesota Timberwolves,Minnesota
18,NOP,New Orleans Pelicans,New Orleans
19,NYK,New York Knicks,New York
20,OKC,Oklahoma City Thunder,Oklahoma City
21,ORL,Orlando Magic,Orlando
22,PHI,Philadelphia 76ers,Philadelphia
23,PHO,Phoenix Suns,Phoenix
24,POR,Portland Trail Blazers,Portland
25,SAC,Sacramento Kings,Sacramento
26,SAS,San Antonio Spurs,San Antonio
27,TOR,Toronto Raptors,Toronto
28,UTA,Utah Jazz,Utah
29,WAS,Washington Wizards,Washington
